nreqs,ctxlen,prefixlen,relay,Memory (GB),Lantency (us),KV mem (GB),Prefix KV mem (GB),cache_op,attn_usr,attn_sys,relay_fusion,others
4,256,64,false,0.044040192,62.353340908885,0.034078816,0.0,8,44,0,0,10.353340908885002
4,256,64,true,0.035651584,58.60505159944296,0.027263072,0.001704032,8,35,7,1,7.605051599442959
4,256,128,false,0.048234496,70.61182055622339,0.04089456,0.0,9,52,0,0,9.611820556223392
4,256,128,true,0.04194304,58.717657811939716,0.027263072,0.003407968,9,32,11,1,5.717657811939716
4,256,256,false,0.060817408,86.16848848760128,0.054526048,0.0,9,70,0,0,7.16848848760128
4,256,256,true,0.04194304,66.40707142651081,0.027263072,0.00681584,9,32,18,1,6.407071426510811
4,256,512,false,0.090177536,136.84072066098452,0.081789024,0.0,9,114,0,0,13.840720660984516
4,256,512,true,0.056623104,78.54566909372807,0.027263072,0.013631584,8,32,27,1,10.545669093728065
4,256,1024,false,0.144703488,209.41494032740593,0.136314976,0.0,9,186,0,0,14.41494032740593
4,256,1024,true,0.065011712,107.3656976222992,0.027263072,0.027263072,9,33,47,1,17.365697622299194
4,256,2048,false,0.253755392,375.0053560361266,0.24536688,0.0,9,353,0,0,13.005356036126614
4,256,2048,true,0.090177536,141.7249022051692,0.027263072,0.054526048,8,35,88,1,9.724902205169201
4,256,4096,false,0.4718592,698.038786649704,0.463470688,0.0,9,675,0,0,14.03878664970398
4,256,4096,true,0.144703488,223.68703968822956,0.027263072,0.109052,9,34,169,1,10.68703968822956
4,256,8192,false,0.908066816,1350.356969051063,0.899678304,0.0,9,1331,0,0,10.35696905106306
4,256,8192,true,0.253755392,383.57459008693695,0.027263072,0.218103904,8,30,330,1,14.57459008693695
4,256,16384,false,1.801453568,2648.824597708881,1.772093536,0.0,10,2626,0,0,12.824597708880901
4,256,16384,true,0.4718592,708.8992232456803,0.027263072,0.436207712,8,33,654,1,12.899223245680332
8,128,64,false,0.048234496,71.31107151508331,0.04089456,0.0,9,52,0,0,10.311071515083313
8,128,64,true,0.035651584,59.63413044810295,0.027263072,0.001704032,9,35,7,1,7.634130448102951
8,128,128,false,0.060817408,94.41412054002285,0.054526048,0.0,9,73,0,0,12.41412054002285
8,128,128,true,0.04194304,62.666311860084534,0.027263072,0.003407968,9,35,11,1,6.666311860084534
8,128,256,false,0.090177536,127.7550496160984,0.081789024,0.0,9,110,0,0,8.755049616098404
8,128,256,true,0.04194304,71.56220730394125,0.027263072,0.00681584,9,37,18,1,6.56220730394125
8,128,512,false,0.144703488,222.10279945284128,0.136314976,0.0,9,198,0,0,15.102799452841282
8,128,512,true,0.056623104,91.16015862673521,0.027263072,0.013631584,9,34,27,1,20.16015862673521
8,128,1024,false,0.253755392,380.1573859527707,0.24536688,0.0,9,353,0,0,18.15738595277071
8,128,1024,true,0.065011712,106.68592993170023,0.027263072,0.027263072,9,35,47,1,14.68592993170023
8,128,2048,false,0.4718592,700.4421018064022,0.463470688,0.0,9,681,0,0,10.442101806402206
8,128,2048,true,0.090177536,151.0001067072153,0.027263072,0.054526048,9,34,89,1,18.00010670721531
