nreqs,prefixlen,backend,req_per_sec,process_tok_per_sec,generate_tok_per_sec
1000,512,vllm+,5.906490621579532,5887.471721778046,1359.3788165565293
1000,512,vllm,3.6785137529873007,3666.6689387026813,846.6099402500272
1000,1024,vllm+,5.84728118579286,8822.260907500551,1345.7517649102267
1000,1024,vllm,2.6006495757565573,3923.8080669099786,598.5394998603717
1000,512,vllm+pc,5.400665826400493,5383.275682439484,1242.9632399460734
1000,1024,vllm+pc,4.921127018687333,7424.898023255074,1132.5973833508897
1000,2048,vllm+pc,4.200934465366419,10640.04279519076,966.8450672040815
