nreqs,prefixlen,backend,req_per_sec,process_tok_per_sec,generate_tok_per_sec
1000,64,vllm+,1.9665065386487661,1066.2752423730567,482.03794877974013
1000,64,vllm,2.4477734237839837,1327.2268102973042,600.0080127316253
1000,128,vllm+,2.1086780253449944,1278.318575168592,516.8875922846664
1000,128,vllm,2.22753482333662,1350.3717055334791,546.0222460355657
1000,256,vllm+,2.1311931923083742,1564.76040327027,522.406600071398
1000,256,vllm,1.8280283501840413,1342.1713192154266,448.09362131051296
1000,512,vllm+,2.096080715300591,2075.5768537435206,513.799689257342
1000,512,vllm,1.2646947269873516,1252.3234831679613,310.00703025804756
1000,1024,vllm+,1.9823653469207976,2977.944906720667,485.9253232986136
1000,1024,vllm,0.8886254776306982,1334.9091877554322,217.82343157874726
1000,2048,vllm+,2.062688081457888,5210.799759764383,505.61435327928336
1000,2048,vllm,0.5101963011122412,1288.8670794031639,125.06135811383702
1000,512,vllm+pc,1.828620958032581,1810.7333878211061,448.2388837167784
1000,1024,vllm+pc,1.6049572980668676,2410.995742387414,393.41355273134286
1000,2048,vllm+pc,1.2783931406248303,3229.499762922978,313.3648402025209
1000,64,vllm+pc,2.005917642697173,1087.6446523879758,491.69855624850186
1000,128,vllm+pc,2.05628735507394,1246.5584078182135,504.0453816251444
1000,256,vllm+pc,1.9739219995531976,1449.2890626679498,483.85565621847803
